IV,Probability
240,13.39333333
215,16.16
257,71.38
170,98.8
212,23.56
181,92.89333333
210,29.80666667
269,94.57333333
160,100
214,18.2
242,18.84
194,86.2
247,28.1
227,0.74533333
256,66.9
231,0.88
176,95.86666667
205,50.28
231,0.88
167,99.93333333
237,8.87333333
179,94.02666667
275,97.00666667
239,11.95333333
172,97.66666667
197,80.02
162,100
287,99.97333333
269,94.57333333
222,2.85666667
204,56.21333333
201,66.39333333
209,35.57333333
254,57.67333333
267,93.90666667
277,98.34666667
286,99.97333333
267,93.90666667
248,29.63333333
266,93.32666667
232,1.65266667
158,100
200,72.48666667
161,100
162,100
260,83.22666667
157,100
265,93.13333333
285,99.97333333
163,100
232,1.65266667
290,99.97333333
235,5.52666667
258,73.76666667
325,99.97333333
190,88.53333333
191,88.2
200,72.48666667
279,99.40666667
212,23.56
272,95.75333333
216,13.60666667
225,0.83733333
182,92.43333333
211,25.26666667
270,94.64
222,2.85666667
180,93.72
210,29.80666667
200,72.48666667
212,23.56
284,99.97333333
231,0.88
230,0.76333333
165,100
258,73.76666667
164,100
216,13.60666667
242,18.84
238,10.27333333
280,99.70666667
173,97.4
253,55.08666667
218,7.97333333
176,95.86666667
180,93.72
267,93.90666667
181,92.89333333
239,11.95333333
229,0.60733333
253,55.08666667
221,4.6
215,16.16
224,1.31
222,2.85666667
178,94.64666667
290,99.97333333
228,0.77133333
197,80.02
166,100
278,98.64
178,94.64666667
265,93.13333333
182,92.43333333
290,99.97333333
264,92.33333333
202,64.22
192,88.2
252,47.66
251,42.08666667
220,5.6
159,100
230,0.76333333
279,99.40666667
163,100
284,99.97333333
256,66.9
179,94.02666667
210,29.80666667
179,94.02666667
288,99.97333333
286,99.97333333
198,78.60666667
191,88.2
238,10.27333333
179,94.02666667
223,1.494
268,94.34
166,100
227,0.74533333
175,96.13333333
213,21.16
159,100
199,75.28666667
249,35.23333333
278,98.64
174,97
215,16.16
213,21.16
256,66.9
277,98.34666667
217,11.25333333
272,95.75333333
191,88.2
190,88.53333333
231,0.88
163,100
200,72.48666667
253,55.08666667
168,99.8
225,0.83733333
242,18.84
240,13.39333333
213,21.16
272,95.75333333
224,1.31
260,83.22666667
287,99.97333333
191,88.2
262,87.54
234,4.72666667
216,13.60666667
192,88.2
204,56.21333333
225,0.83733333
262,87.54
215,16.16
242,18.84
257,71.38
174,97
193,87.6
241,16.34666667
170,98.8
184,91.3
222,2.85666667
250,36.2
217,11.25333333
216,13.60666667
201,66.39333333
282,99.97333333
266,93.32666667
157,100
268,94.34
290,99.97333333
189,89.47333333
202,64.22
206,49.12
172,97.66666667
157,100
280,99.70666667
210,29.80666667
193,87.6
191,88.2
283,99.97333333
244,20.88
173,97.4
232,1.65266667
204,56.21333333
185,90.65333333
168,99.8
258,73.76666667
167,99.93333333
239,11.95333333
258,73.76666667
206,49.12
177,94.91333333
209,35.57333333
180,93.72
285,99.97333333
164,100
241,16.34666667
179,94.02666667
289,99.97333333
181,92.89333333
243,19.82666667
194,86.2
177,94.91333333
265,93.13333333
211,25.26666667
283,99.97333333
241,16.34666667
189,89.47333333
181,92.89333333
171,98.2
241,16.34666667
160,100
232,1.65266667
175,96.13333333
175,96.13333333
242,18.84
217,11.25333333
199,75.28666667
286,99.97333333
240,13.39333333
206,49.12
253,55.08666667
225,0.83733333
229,0.60733333
188,89.94
229,0.60733333
232,1.65266667
271,95.21333333
280,99.70666667
169,99.46666667
206,49.12
247,28.1
285,99.97333333
284,99.97333333
247,28.1
281,99.89333333
176,95.86666667
257,71.38
166,100
198,78.60666667
201,66.39333333
271,95.21333333
189,89.47333333
252,47.66
201,66.39333333
204,56.21333333
238,10.27333333
207,42.34666667
233,3.67066667
189,89.47333333
176,95.86666667
185,90.65333333
191,88.2
229,0.60733333
235,5.52666667
183,92.23333333
272,95.75333333
215,16.16
279,99.40666667
240,13.39333333
281,99.89333333
210,29.80666667
234,4.72666667
191,88.2
270,94.64
167,99.93333333
271,95.21333333
196,82.62666667
233,3.67066667
227,0.74533333
278,98.64
277,98.34666667
190,88.53333333
189,89.47333333
172,97.66666667
278,98.64
220,5.6
262,87.54
252,47.66
279,99.40666667
283,99.97333333
209,35.57333333
201,66.39333333
235,5.52666667
249,35.23333333
226,0.664
231,0.88
216,13.60666667
167,99.93333333
202,64.22
242,18.84
278,98.64
261,86.88666667
245,24.88
185,90.65333333
233,3.67066667
162,100
241,16.34666667
203,57.38
275,97.00666667
161,100
283,99.97333333
191,88.2
241,16.34666667
211,25.26666667
270,94.64
230,0.76333333
221,4.6
285,99.97333333
207,42.34666667
241,16.34666667
161,100
175,96.13333333
271,95.21333333
205,50.28
184,91.3
274,96.47333333
213,21.16
197,80.02
174,97
250,36.2
276,97.75333333
248,29.63333333
260,83.22666667
284,99.97333333
250,36.2
243,19.82666667
226,0.664
265,93.13333333
172,97.66666667
242,18.84
167,99.93333333
288,99.97333333
181,92.89333333
197,80.02
249,35.23333333
158,100
289,99.97333333
166,100
252,47.66
268,94.34
163,100
213,21.16
281,99.89333333
206,49.12
225,0.83733333
250,36.2
281,99.89333333
190,88.53333333
267,93.90666667
261,86.88666667
158,100
264,92.33333333
209,35.57333333
283,99.97333333
267,93.90666667
220,5.6
206,49.12
163,100
282,99.97333333
157,100
215,16.16
215,16.16
284,99.97333333
284,99.97333333
276,97.75333333
176,95.86666667
262,87.54
280,99.70666667
277,98.34666667
246,26.74
268,94.34
286,99.97333333
163,100
245,24.88
229,0.60733333
189,89.47333333
230,0.76333333
221,4.6
287,99.97333333
160,100
260,83.22666667
227,0.74533333
200,72.48666667
197,80.02
240,13.39333333
177,94.91333333
214,18.2
206,49.12
217,11.25333333
239,11.95333333
221,4.6
217,11.25333333
288,99.97333333
204,56.21333333
276,97.75333333
272,95.75333333
220,5.6
280,99.70666667
209,35.57333333
263,90.05333333
180,93.72
197,80.02
284,99.97333333
183,92.23333333
223,1.494
200,72.48666667
162,100
251,42.08666667
179,94.02666667
263,90.05333333
166,100
180,93.72
247,28.1
200,72.48666667
241,16.34666667
251,42.08666667
275,97.00666667
282,99.97333333
185,90.65333333
201,66.39333333
272,95.75333333
177,94.91333333
261,86.88666667
230,0.76333333
